Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2016-01-09,1880.3299560546875,1950.3299560546875,1857.8299560546875,1926.1199951171875,25291150000
2016-01-16,1906.9000244140625,1908.8499755859375,1812.2900390625,1888.6600341796875,21324990000
2016-01-23,1940.239990234375,1940.239990234375,1872.699951171875,1906.280029296875,23703940000
2016-01-30,1880.050048828125,1947.199951171875,1872.22998046875,1936.93994140625,24081930000
2016-02-06,1864.780029296875,1881.5999755859375,1810.0999755859375,1873.25,25488570000
2016-02-13,1917.780029296875,1930.6800537109375,1871.43994140625,1871.43994140625,18161550000
2016-02-20,1948.050048828125,1962.9599609375,1891.0,1924.43994140625,20729330000
2016-02-27,1999.989990234375,2009.1300048828125,1931.81005859375,1947.1300048828125,25206170000
2016-03-05,2022.18994140625,2022.3699951171875,1969.25,1996.1099853515625,22103360000
2016-03-12,2049.580078125,2052.360107421875,2005.22998046875,2019.27001953125,22138770000
2016-03-19,2035.93994140625,2056.60009765625,2022.489990234375,2047.8800048828125,13842290000
2016-03-26,2072.780029296875,2075.070068359375,2028.31005859375,2037.8900146484375,17687000000
2016-04-02,2047.5999755859375,2074.02001953125,2033.800048828125,2073.18994140625,18552210000
2016-04-09,2080.72998046875,2087.840087890625,2039.739990234375,2050.22998046875,19466730000
2016-04-16,2091.580078125,2111.050048828125,2073.64990234375,2078.830078125,19364460000
2016-04-23,2065.300048828125,2099.889892578125,2052.280029296875,2089.3701171875,19991600000
2016-04-30,2057.139892578125,2083.419921875,2039.449951171875,2067.169921875,19877940000
2016-05-07,2046.6099853515625,2084.8701171875,2043.1300048828125,2057.550048828125,18573070000
2016-05-14,2052.320068359375,2071.8798828125,2025.9100341796875,2046.530029296875,19066060000
2016-05-21,2099.06005859375,2099.06005859375,2047.260009765625,2052.22998046875,16852120000
2016-05-28,2099.1298828125,2105.260009765625,2085.10009765625,2100.1298828125,15300080000
2016-06-04,2096.070068359375,2120.550048828125,2089.9599609375,2100.830078125,17344140000
2016-06-11,2071.219970703125,2098.1201171875,2050.3701171875,2091.75,19277430000
2016-06-18,2037.4100341796875,2113.320068359375,2032.5699462890625,2075.580078125,20763870000
2016-06-25,2102.949951171875,2108.7099609375,1991.6800537109375,2031.449951171875,22140480000
2016-07-02,2129.89990234375,2131.7099609375,2074.02001953125,2095.050048828125,14779810000
